"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","あ、来たね？","아, 왔어?","","False","104201001","",""
"","待ってたよ、お客さん！","기다리다 지치는줄 알았어, 방문자씨!","","False","104201002","",""
"","ようこそ！ グリムグリッターへ！","어서와! GrimGlitter에!","","False","104201003","",""
"","…………。","………….","","False","104201004","",""
"","あれ？ 人違い……？","어라? 사람을 잘못봤다고?","","False","104201005","",""
"","ねぇ。あなた、外の人でしょう？","저기, 너는 바깥 사람이지, 안 그래?","","False","104201006","",""
"","はい","네","","False","104201101","",""
"","にししー、やっぱり。","히힛… 그럴 줄 알았어.","","False","104201102","",""
"","香ちゃんが招待状を出したって言ってたから","카오리쨩이 초대장을 보냈다고 했을 때부터","","False","104201103","",""
"","そろそろかなーって思ってたんだ！","슬슬 오려나~ 싶었어!","","False","104201104","",""
"","いいえ","아니오","","False","104201201","",""
"","んー、本当ぉ？","응~, 저엉말?","","False","104201202","",""
"","この街にキミみたいな子、いたっけ……。","이 마을에 닮은 아이가 있었나……?","","False","104201203","",""
"","私の名前、言える？","내 이름, 말할 수 있어?","","False","104201204","",""
"","…………。","………….","","False","104201205","",""
"","ほらー、やっぱり初対面だよ私たち！","봐, 우리 처음 만난거라고!","","False","104201206","",""
"","私はアリス！ あなたは？","나는 앨리스! 너는?","","False","104201208","",""
"","名前を入力してください。","이름을 입력하세요.","","False","104201901","",""
"","[player][kun]、ね。覚えた。","[player][kun], 이네. 기억했어.","","False","104201008","",""
"","それで、[player][kun]はここがどこだかわかる？","그래서, [player][kun]은 여기가 어딘지 알고 있어?","","False","104201009","",""
"","ここは私の街！","여긴 내 마을이야!","","False","104201010","",""
"","せーかくには私だけの街ってわけじゃないけど……。","정확히는 나만의 마을은 아니지만…….","","False","104201011","",""
"","でも今は私のだよ！","그래도 지금은 내거야!","","False","104201012","",""
"","市長とかじゃなくて、支配者ってこと。","시장이나 다른걸 말하는게 아니야, 지배자.","","False","104201013","",""
"","むぅ、信じてないねー？","부우, 못 믿겠어?","","False","104201014","",""
"","私みたいなちっちゃな女の子が支配者なんて。","나 같은 작은 소녀가 지배자라니.","","False","104201015","",""
"","じゃあ見せてあげる。","그럼 보여줄게.","","False","104201016","",""
"","ほんの少しだけ、大きくなるね？","조금만, 커질게?","","False","104201017","",""
"","ふふ、びっくりした？","후후, 놀랐어?","","False","104201018","",""
"","いいね、いいねー！　そういうウブな反応！","좋아! 훌륭해! 그런 반응!","","False","104201019","",""
"","ゾクゾクしちゃう……。","오싹오싹해…….","","False","104201020","",""
"","香ちゃんもいい子を選んでくれたなー♪","카오리쨩 참 귀여운 아이를 골랐네~♪","","False","104201021","",""
"","ほら、見て？","자, 봐봐?","","False","104201022","",""
"","私の足、すっごく強そうでしょー？","내 다리, 무척 강해보이지?","","False","104201023","",""
"","この足でー、キミを蹴っ飛ばしたらどうなっちゃうのかなー？","이 발로 너를 찬다면 어떻게 될지 궁금한데?","","False","104201024","",""
"","…………くすっ。","………… 큿.","","False","104201025","",""
"","なんてね！","장난이야!","","False","104201026","",""
